data_source,scraped_at,name,address,city,state,zip,phone,capacity,license_number,latitude,longitude,county,original_x,original_y,original_objectid,original_address_2,facility_type,original_licensed_certified,original_flag,original_t18_19,original_fac_status_type_code,original_aspen_facid,original_ccn,original_terminat_sw,original_participation_date,original_approval_date,original_npi,original_can_be_deemed_fac_type,original_can_be_certified_fac_type,original_deemed,original_ao_cd,original_dmg_efctv_dt,original_ao_trmntn_dt,original_ao_name,original_ltc,original_zip9,original_facadmin,original_contact_email,original_contact_fax,original_county_code,original_district_number,original_district_name,original_isfacmain,original_parent_facid,original_fac_fac_relationship_type_code,original_start_date,original_license_status_description,original_initial_license_date,original_license_effective_date,original_license_expiration_date,original_entity_type_description,original_location,original_hcai_id,original_cclho_code,original_cclho_name,original_fips_county_code,original_birthing_facility_flag,original_trauma_ped_ctr,original_trauma_ctr,original_type_of_care,original_critical_access_hospital,original_data_date
alw_assisted_living,2025-07-10T06:16:47.554913,1ST CARING TRADITIONS,3234 TOURNAMENT DRIVE,PALMDALE,,93551,661-441-0023,6,1477270999,34.622839164291,-118.188201311126,Los Angeles,-118.188162,34.622667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.555129,HFL HARBOR GATEWAY HOMES,1418 WEST 218TH STREET,TORRANCE,,90501,3103377417,6,1316171846,33.830275444053,-118.302307349847,Los Angeles,-118.3023045,33.8300550000001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.555261,"3FACES RANCH, LLC",2851 WEST AVENUE L,LANCASTER,,93536,6614800912,6,1265946065,34.660335295699,-118.182420369754,Los Angeles,-118.18242037,34.660335296,3,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.555416,HFL HARBOR GATEWAY HOMES,1435 WEST 223RD STREET,TORRANCE,,90501,3103377417,6,1952535486,33.824554814069,-118.30287706342,Los Angeles,-118.3028805,33.8248170000001,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.555622,"7121 MAIN, LLC",7121 MAIN AVENUE,ORANGEVALE,,95662,707-430-1608,6,1952099863,38.695086,-121.202676,SACRAMENTO,-121.202676,38.6950860000001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.555750,ELIAA LLC,1229 KELLEY AVENUE,CORONA,,92882,9513399834,6,1528671633,33.869406206215,-117.574925669975,Riverside,-117.574695,33.8693850000001,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.555883,LONGEVITY BOARD AND CARE LLC,10348 LARAMIE STREET,CHATSWORTH,,91311,510-384-3431,6,1053999003,34.258866317791,-118.572835323735,LOS ANGELES,-118.5725925,34.2588690000001,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.556078,PACALDO LLC,130 VALE ST,DALY CITY,,94014,6507550411,53,1689257974,37.691575593975,-122.468481392867,San Mateo,-122.4684855,37.6918470000001,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.556220,A CARING TOUCH BOARD AND CARE II LLC,2108 OAK STREET,SANTA MONICA,,90405,818-477-2990,6,1255063558,34.01353434151,-118.462751419204,Los Angeles,-118.462751419,34.0135343420001,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alw_assisted_living,2025-07-10T06:16:47.556336,A CARING TOUCH BOARD AND CARE III LLC,2110 OAK STREET,SANTA MONICA,,90405,818-477-2990,6,1720710023,34.013634581165,-118.462641088522,Los Angeles,-118.462482,34.013448,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
