provider_name,facility_type,address,city,state,phone,license_number,license_status,ownership_type,services,care_category,county,source_url,scraped_date
Comfort Somervell Residential Care,Community Care Center,319 First Street,Rainbow,TX,(469) 859-5789,LTC59386,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Somervell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449364
Hometown Home Care,Senior Care Home,413 Oak Street,Nemo,TX,(940) 938-3120,RC35705,Active - Good Standing,Private,"Personal Care, Transportation",Assisted Living,Somervell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449395
Countryside Assisted Care,Residential Care Facility,361 Hill Road,Nemo,TX,(325) 810-1979,RC33414,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Somervell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449411
Paluxy Hillside Senior Care,Residential Care Facility,636 Second Street,Paluxy,TX,(956) 259-7090,CCH94018,Active,Non-Profit,"Residential Care, Companionship",Assisted Living,Somervell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449592
Paluxy Residential Care,Senior Care Home,950 Highway,Paluxy,TX,(915) 393-7408,LTC81680,Active,Private,"Residential Care, Companionship",Assisted Living,Somervell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449606
Nemo Lakeside Assisted Care,Senior Care Home,579 Mill Street,Nemo,TX,(972) 352-6853,RC56055,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Somervell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449616
Somervell County Living Center,Senior Care Home,596 Old Town Road,Glen Rose,TX,(346) 937-4845,LTC93304,Licensed,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Somervell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449625
Escobares Home Care,Community Care Center,205 Second Street,Escobares,TX,(903) 947-9124,RC82467,Active,Family-Owned,"Personal Care, Transportation",Assisted Living,Starr,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449642
La Grulla Living Center,Family Care Home,262 County Road,La Grulla,TX,(281) 383-4802,ALF53748,Active,Community-Owned,"Residential Care, Companionship",Assisted Living,Starr,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449653
La Grulla Hometown Family Care,Residential Care Facility,397 Church Street,La Grulla,TX,(737) 996-1763,ALF39224,Active,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Starr,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449665
Starr County Senior Home,Senior Care Home,864 Old Town Road,Roma,TX,(361) 335-5551,PCH61755,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Starr,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449674
Roma Home Care,Family Care Home,934 Maple Street,Roma,TX,(432) 569-1260,CCH64642,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Starr,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449682
Comfort Starr Living Center,Personal Care Home,653 Highway,Escobares,TX,(979) 713-9991,ALF27079,Licensed,Community-Owned,"Senior Care, Meal Services",Assisted Living,Starr,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449690
Necessity Tranquil Care Home,Senior Care Home,442 County Road,Necessity,TX,(325) 279-1787,CCH67452,Active - Good Standing,Non-Profit,"Personal Care, Transportation",Assisted Living,Stephens,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449700
Caddo Grace Care Center,Personal Care Home,476 Mill Street,Caddo,TX,(915) 855-6697,LTC62852,Licensed,Private,"Assisted Living, Personal Care",Assisted Living,Stephens,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449708
Breckenridge Care Services,Senior Care Home,731 Church Street,Breckenridge,TX,(254) 315-9307,CCH45587,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Stephens,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449720
Stephens County Care Center,Senior Care Home,630 Ranch Road,Necessity,TX,(945) 786-5508,ASL27625,Active - Good Standing,Private,"Personal Care, Transportation",Assisted Living,Stephens,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449729
Heritage Stephens Senior Living,Assisted Living Facility,848 Mill Street,Necessity,TX,(281) 342-6752,LTC69992,Active,Private,"Residential Care, Companionship",Assisted Living,Stephens,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449738
Stephens County Family Care,Assisted Living Facility,868 Rural Route,Necessity,TX,(979) 592-2081,RC27360,Licensed,Private,"Assisted Living, Medication Management",Assisted Living,Stephens,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449746
Peaceful Stephens Senior Care,Personal Care Home,475 Ranch Road,Caddo,TX,(972) 709-5695,RC17499,Licensed,Community-Owned,"Residential Care, Companionship",Assisted Living,Stephens,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449755
Sunset Senior Services,Personal Care Home,211 Cedar Street,Sterling City,TX,(956) 687-9761,CCH86276,Active - Good Standing,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Sterling,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449766
Sterling City Pioneer Care Facility,Family Care Home,898 Rural Route,Sterling City,TX,(830) 629-1407,CCH98136,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Sterling,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449774
Broome Golden Living Center,Community Care Center,397 Rural Route,Broome,TX,(940) 377-3880,LTC19333,Active - Good Standing,Family-Owned,"Assisted Living, Medication Management",Assisted Living,Sterling,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449782
Sunset Stonewall Family Care,Assisted Living Facility,620 Church Street,Peacock,TX,(432) 317-1813,ASL22346,Active - Good Standing,Community-Owned,"Residential Care, Companionship",Assisted Living,Stonewall,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449791
Peacock Golden Senior Care,Family Care Home,844 Highway,Peacock,TX,(903) 915-3878,CCH66004,Licensed,Family-Owned,"Senior Care, Meal Services",Assisted Living,Stonewall,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449799
Stonewall County Care Services,Residential Care Facility,227 Country Lane,Old Glory,TX,(512) 735-6262,ASL56833,Licensed,Private,"Senior Care, Meal Services",Assisted Living,Stonewall,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449807
Golden Senior Services,Residential Care Facility,767 Rural Route,Swenson,TX,(832) 924-5806,LTC29338,Active,Community-Owned,"Personal Care, Transportation",Assisted Living,Stonewall,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449814
Stonewall County Residential Care,Assisted Living Facility,207 State Highway,Old Glory,TX,(713) 522-1984,LTC95339,Active,Private,"Assisted Living, Medication Management",Assisted Living,Stonewall,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449822
Countryside Sutton Senior Living,Family Care Home,407 Main Street,Eldorado,TX,(945) 227-4645,LTC76689,Active,Non-Profit,"Senior Care, Meal Services",Assisted Living,Sutton,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449833
Sutton County Home Care,Community Care Center,274 Creek Road,Sonora,TX,(915) 221-9947,LTC61299,Active,Community-Owned,"Residential Care, Companionship",Assisted Living,Sutton,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449848
Eldorado Cedar Personal Care,Residential Care Facility,250 State Highway,Eldorado,TX,(409) 589-4818,CCH84959,Active - Good Standing,Family-Owned,"Personal Care, Transportation",Assisted Living,Sutton,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449860
Meadowbrook Swisher Care Facility,Senior Care Home,275 Hill Road,Vigo Park,TX,(281) 272-1401,ASL39979,Active,Private,"Assisted Living, Medication Management",Assisted Living,Swisher,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449870
Vigo Park Care Facility,Senior Care Home,389 Main Street,Vigo Park,TX,(254) 973-1492,LTC30064,Licensed,Non-Profit,"Senior Care, Meal Services",Assisted Living,Swisher,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449879
Oak Swisher Senior Services,Community Care Center,556 Pine Street,Tulia,TX,(346) 728-3094,CCH99489,Licensed,Community-Owned,"Personal Care, Transportation",Assisted Living,Swisher,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449887
Countryside Taylor Living Center,Assisted Living Facility,891 Old Town Road,Merkel,TX,(469) 339-9010,ASL79328,Active,Private,"Senior Care, Meal Services",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449897
Taylor County Assisted Living,Family Care Home,887 Cedar Street,Potosi,TX,(945) 228-9914,ASL98899,Licensed,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449905
Abilene Golden Care Services,Residential Care Facility,783 Mill Street,Abilene,TX,(956) 482-9671,RC73414,Active,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449913
Heritage Taylor Care Center,Family Care Home,947 Old Town Road,Buffalo Gap,TX,(806) 740-3079,ASL67892,Licensed,Private,"Residential Care, Companionship",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449921
Potosi Residential Care,Residential Care Facility,493 Rural Route,Potosi,TX,(346) 290-5836,LTC27687,Active - Good Standing,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449929
Potosi Care Home,Residential Care Facility,629 Creek Road,Potosi,TX,(979) 279-6011,PCH52306,Active - Good Standing,Family-Owned,"Senior Care, Meal Services",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449939
Countryside Assisted Living,Community Care Center,291 Farm Road,Potosi,TX,(737) 771-8951,PCH14003,Active,Non-Profit,"Personal Care, Transportation",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449946
Heritage Assisted Living,Senior Care Home,924 Old Town Road,Potosi,TX,(281) 527-6629,RC58459,Licensed,Family-Owned,"Personal Care, Transportation",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449954
Peaceful Taylor Care Home,Senior Care Home,233 Farm Road,Merkel,TX,(512) 711-9961,CCH19342,Active,Family-Owned,"Residential Care, Companionship",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449962
Cedar Senior Home,Residential Care Facility,341 Main Street,Buffalo Gap,TX,(737) 875-2339,RC60651,Active,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449975
Taylor County Senior Living,Family Care Home,505 County Road,Tye,TX,(214) 685-9764,ASL62079,Active - Good Standing,Community-Owned,"Residential Care, Companionship",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449983
Hometown Taylor Family Care,Residential Care Facility,537 State Highway,Abilene,TX,(945) 543-7417,ALF17791,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Taylor,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.449990
Harmony Senior Home,Assisted Living Facility,394 Country Lane,Pandale,TX,(512) 739-6276,ASL45126,Active - Good Standing,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Terrell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450003
Terrell County Care Home,Senior Care Home,470 Cedar Street,Pandale,TX,(979) 671-8135,PCH89005,Active,Non-Profit,"Assisted Living, Personal Care",Assisted Living,Terrell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450017
Langtry Peaceful Residential Care,Family Care Home,378 Pine Street,Langtry,TX,(214) 778-3431,ASL95628,Licensed,Community-Owned,"Personal Care, Transportation",Assisted Living,Terrell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450027
Pandale Senior Home,Personal Care Home,532 Pine Street,Pandale,TX,(214) 649-8638,LTC20430,Active,Family-Owned,"Residential Care, Companionship",Assisted Living,Terrell,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450037
Wellman Senior Care,Community Care Center,524 Church Street,Wellman,TX,(945) 953-7232,LTC40395,Licensed,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Terry,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450046
Terry County Care Services,Personal Care Home,421 Market Street,Tokio,TX,(409) 877-2845,CCH57922,Active,Private,"Senior Care, Meal Services",Assisted Living,Terry,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450054
Terry County Care Facility,Assisted Living Facility,807 Second Street,Wellman,TX,(214) 298-2288,ALF29024,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Terry,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450061
Golden Terry Home Care,Community Care Center,171 Highway,Tokio,TX,(979) 518-8127,LTC74075,Active,Family-Owned,"Senior Care, Meal Services",Assisted Living,Terry,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450069
Throckmorton County Senior Home,Assisted Living Facility,180 First Street,Elbert,TX,(956) 425-1992,ASL11544,Active - Good Standing,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Throckmorton,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450078
Countryside Throckmorton Assisted Living,Residential Care Facility,921 Church Street,Elbert,TX,(979) 823-4837,RC34184,Active - Good Standing,Family-Owned,"Assisted Living, Medication Management",Assisted Living,Throckmorton,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450086
Sunset Residential Care,Community Care Center,883 State Highway,Elbert,TX,(940) 837-8629,ALF25788,Licensed,Private,"Assisted Living, Personal Care",Assisted Living,Throckmorton,Texas 100% Coverage - Final 38 Counties,2025-07-10T07:44:38.450093
