id,name,address,city,state,zip_code,county,phone,facility_type,licensed_beds,license_number,administrator,coordinates,data_source
1,Louisville Assisted Living,6617 Pine Rd,Louisville,Kentucky,40206,Jefferson,(502) 338-1315,Skilled Nursing Facility,99,KY37199,Daniel Taylor,"[38.234359588684526, -85.77423270437451]",Kentucky Cabinet for Health and Family Services
2,Derby Skilled Nursing,6103 Cedar Ln,Louisville,Kentucky,40208,Jefferson,(502) 518-4541,Personal Care Home,122,KY55263,Richard Rodriguez,"[38.25246322799629, -85.77603466259897]",Kentucky Cabinet for Health and Family Services
3,Louisville Gardens,5251 Elm St,Louisville,Kentucky,40212,Jefferson,(502) 502-7011,Adult Day Care,122,KY84493,Donald Johnson,"[38.267762680672824, -85.75060131198768]",Kentucky Cabinet for Health and Family Services
4,Place Nursing Home,8813 Bourbon St,Louisville,Kentucky,40208,Jefferson,(270) 501-8478,Adult Day Care,105,KY66213,John Lopez,"[38.23370742944711, -85.77557894216339]",Kentucky Cabinet for Health and Family Services
5,Louisville Commons,9200 Jefferson Dr,Louisville,Kentucky,40210,Jefferson,(606) 509-5072,Skilled Nursing Facility,43,KY94781,Elizabeth Thomas,"[38.27066604668871, -85.75025896297446]",Kentucky Cabinet for Health and Family Services
6,Bourbon Villa,3614 Cedar Ln,Louisville,Kentucky,40210,Jefferson,(859) 564-7621,Assisted Living,100,KY23722,Donna Jackson,"[38.24640237967033, -85.749304517306]",Kentucky Cabinet for Health and Family Services
7,Meadow Retirement Community,5200 Oak Ave,Louisville,Kentucky,40206,Jefferson,(270) 268-6447,Memory Care,67,KY74427,Christopher Taylor,"[38.25597863887825, -85.74655025127264]",Kentucky Cabinet for Health and Family Services
8,Riverside Villa,756 Monroe St,Louisville,Kentucky,40214,Jefferson,(606) 755-2223,Independent Living,31,KY20598,James Williams,"[38.23554703080619, -85.75099452789513]",Kentucky Cabinet for Health and Family Services
9,Riverside Villa,7462 Monroe St,Louisville,Kentucky,40202,Jefferson,(270) 683-6568,Assisted Living,74,KY85952,Sarah Lopez,"[38.23774421763822, -85.74060756299124]",Kentucky Cabinet for Health and Family Services
10,Bourbon Nursing Home,4476 Washington St,Louisville,Kentucky,40214,Jefferson,(364) 234-5610,Skilled Nursing Facility,121,KY33490,Betty Miller,"[38.24851177076007, -85.7769732107405]",Kentucky Cabinet for Health and Family Services
11,Maple Center,1438 Bourbon St,Louisville,Kentucky,40208,Jefferson,(270) 482-1374,Adult Day Care,154,KY16719,Robert Miller,"[38.26858770698021, -85.76231157935189]",Kentucky Cabinet for Health and Family Services
12,Court Court,7848 Horse Park Rd,Louisville,Kentucky,40206,Jefferson,(859) 446-8737,Assisted Living,28,KY94301,Daniel Thomas,"[38.25380815577126, -85.74385109083262]",Kentucky Cabinet for Health and Family Services
13,Louisville Commons,5746 Monroe St,Louisville,Kentucky,40208,Jefferson,(502) 472-7551,Adult Day Care,71,KY82429,William Gonzalez,"[38.23947415331631, -85.73857099648876]",Kentucky Cabinet for Health and Family Services
14,Louisville Skilled Nursing,1945 Lincoln Ave,Louisville,Kentucky,40206,Jefferson,(364) 915-5690,Adult Day Care,131,KY92479,Elizabeth Thomas,"[38.272343289794605, -85.76992914479949]",Kentucky Cabinet for Health and Family Services
15,Pine Commons,9954 Kentucky Ave,Louisville,Kentucky,40202,Jefferson,(502) 549-6601,Memory Care,93,KY59281,Matthew Taylor,"[38.240788522881346, -85.77752792810021]",Kentucky Cabinet for Health and Family Services
16,Maple Senior Living,9455 Church St,Louisville,Kentucky,40210,Jefferson,(606) 290-1737,Memory Care,68,KY91124,John Williams,"[38.26138589683605, -85.77801646367053]",Kentucky Cabinet for Health and Family Services
17,Bluegrass Manor,2702 Madison Rd,Louisville,Kentucky,40214,Jefferson,(606) 476-1351,Skilled Nursing Facility,112,KY37573,Lisa Lewis,"[38.261142637715245, -85.76342715136607]",Kentucky Cabinet for Health and Family Services
18,Louisville Assisted Living,5759 Bluegrass Blvd,Louisville,Kentucky,40210,Jefferson,(859) 825-1194,Continuing Care Retirement Community,73,KY60314,Barbara Miller,"[38.25669283902829, -85.74310959363372]",Kentucky Cabinet for Health and Family Services
19,Manor Senior Living,3355 Second St,Lexington,Kentucky,40502,Fayette,(502) 470-9096,Assisted Living,57,KY65066,Thomas Moore,"[38.03704249533753, -84.51413333881513]",Kentucky Cabinet for Health and Family Services
20,Golden Health Care,4458 Jefferson Dr,Lexington,Kentucky,40515,Fayette,(364) 258-8123,Personal Care Home,116,KY26272,Robert White,"[38.02238738994664, -84.52233500544813]",Kentucky Cabinet for Health and Family Services
21,Magnolia Gardens,4978 Second St,Lexington,Kentucky,40502,Fayette,(502) 905-9643,Independent Living,62,KY31624,Linda Martin,"[38.04913479547064, -84.48924736306701]",Kentucky Cabinet for Health and Family Services
22,Heritage Retirement Community,1959 Jefferson Dr,Lexington,Kentucky,40509,Fayette,(606) 875-5071,Skilled Nursing Facility,119,KY33250,Christopher Garcia,"[38.06032662286228, -84.49086229538366]",Kentucky Cabinet for Health and Family Services
23,Thoroughbred Senior Living,6305 Washington St,Lexington,Kentucky,40508,Fayette,(270) 856-7299,Memory Care,68,KY63956,Sarah White,"[38.04493400267938, -84.49245334532522]",Kentucky Cabinet for Health and Family Services
24,Lexington Court,4680 Derby Dr,Lexington,Kentucky,40513,Fayette,(606) 220-9843,Assisted Living,34,KY16839,Elizabeth White,"[38.02533470700714, -84.48387753374016]",Kentucky Cabinet for Health and Family Services
25,Lexington Skilled Nursing,8135 Kentucky Ave,Lexington,Kentucky,40506,Fayette,(859) 594-5987,Independent Living,106,KY73614,Mary Taylor,"[38.03079427749698, -84.50297112933282]",Kentucky Cabinet for Health and Family Services
26,Oak Villa,9676 Pine Rd,Lexington,Kentucky,40513,Fayette,(270) 366-3836,Assisted Living,29,KY37512,Betty Clark,"[38.022897642555705, -84.5067518510395]",Kentucky Cabinet for Health and Family Services
27,Lexington Senior Living,3988 Bourbon St,Lexington,Kentucky,40502,Fayette,(859) 730-7146,Continuing Care Retirement Community,89,KY59077,Robert Garcia,"[38.04025962478519, -84.50111478492518]",Kentucky Cabinet for Health and Family Services
28,Lexington Health Care,5211 First St,Lexington,Kentucky,40502,Fayette,(606) 969-5406,Memory Care,25,KY78996,Susan Martinez,"[38.04021509004504, -84.50239285978108]",Kentucky Cabinet for Health and Family Services
29,Lexington Memory Care,6896 Second St,Lexington,Kentucky,40515,Fayette,(859) 946-2894,Assisted Living,66,KY36155,Donna Jackson,"[38.04683466116783, -84.48918044729365]",Kentucky Cabinet for Health and Family Services
30,Place Gardens,9900 Cedar Ln,Lexington,Kentucky,40504,Fayette,(859) 895-4074,Assisted Living,174,KY74428,Elizabeth Jackson,"[38.05290040866922, -84.50654586206934]",Kentucky Cabinet for Health and Family Services
31,Lexington Nursing Home,2772 Bluegrass Blvd,Lexington,Kentucky,40502,Fayette,(859) 367-9284,Independent Living,152,KY74084,Donald Robinson,"[38.02852323689248, -84.49380103567142]",Kentucky Cabinet for Health and Family Services
32,Hillside Court,7772 Jefferson Dr,Lexington,Kentucky,40502,Fayette,(606) 386-3871,Assisted Living,105,KY81023,Robert Taylor,"[38.03862382222805, -84.4941312593208]",Kentucky Cabinet for Health and Family Services
33,Hillside Court,5869 Mill St,Lexington,Kentucky,40515,Fayette,(270) 717-6930,Assisted Living,146,KY10694,Matthew Taylor,"[38.0223991448476, -84.51476987637363]",Kentucky Cabinet for Health and Family Services
34,Lexington Senior Living,964 Mill St,Lexington,Kentucky,40502,Fayette,(606) 278-8390,Personal Care Home,128,KY77389,Joseph Martinez,"[38.034964233612456, -84.49303111157421]",Kentucky Cabinet for Health and Family Services
35,Meadow Commons,1703 Madison Rd,Bowling Green,Kentucky,42104,Warren,(364) 912-6951,Skilled Nursing Facility,119,KY29490,Susan Rodriguez,"[36.97756024740095, -86.46085408738516]",Kentucky Cabinet for Health and Family Services
36,Bowling Green Commons,5752 Jefferson Dr,Bowling Green,Kentucky,42103,Warren,(606) 746-7937,Personal Care Home,38,KY83579,Charles Gonzalez,"[36.95940642497488, -86.48382697801182]",Kentucky Cabinet for Health and Family Services
37,Kentucky Nursing Home,8974 Horse Park Rd,Bowling Green,Kentucky,42104,Warren,(270) 532-9401,Continuing Care Retirement Community,69,KY46392,Christopher Lee,"[36.982325682475405, -86.49667318231481]",Kentucky Cabinet for Health and Family Services
38,Hillside Health Care,4594 Second St,Bowling Green,Kentucky,42104,Warren,(606) 538-6430,Memory Care,26,KY45241,Mark Brown,"[36.960755436702854, -86.49484591902768]",Kentucky Cabinet for Health and Family Services
39,Bowling Green Gardens,5279 Church St,Bowling Green,Kentucky,42101,Warren,(606) 906-8052,Independent Living,123,KY11013,Barbara Wilson,"[36.969700156793195, -86.48253230556612]",Kentucky Cabinet for Health and Family Services
40,Bowling Green Place,2368 Derby Dr,Bowling Green,Kentucky,42104,Warren,(270) 477-2944,Skilled Nursing Facility,57,KY22849,Sarah Lopez,"[36.963534782830244, -86.46095563213396]",Kentucky Cabinet for Health and Family Services
41,Court Manor,9223 Park Ave,Bowling Green,Kentucky,42103,Warren,(270) 783-5079,Memory Care,27,KY92796,Jennifer Hernandez,"[36.97984027694827, -86.46212634526204]",Kentucky Cabinet for Health and Family Services
42,Valley Manor,1560 Bluegrass Blvd,Bowling Green,Kentucky,42101,Warren,(606) 935-5404,Continuing Care Retirement Community,101,KY54002,Linda Anderson,"[36.98745375375591, -86.46227636572746]",Kentucky Cabinet for Health and Family Services
43,Golden Place,452 First St,Bowling Green,Kentucky,42103,Warren,(364) 596-2591,Memory Care,36,KY28738,Elizabeth Perez,"[36.95349680580038, -86.48760765490866]",Kentucky Cabinet for Health and Family Services
44,Thoroughbred Court,1411 Kentucky Ave,Bowling Green,Kentucky,42101,Warren,(606) 203-6048,Independent Living,171,KY10550,David Clark,"[36.97948102838829, -86.48629515356518]",Kentucky Cabinet for Health and Family Services
45,Place Center,9347 Derby Dr,Bowling Green,Kentucky,42103,Warren,(270) 595-2571,Assisted Living,101,KY16805,Patricia Robinson,"[36.97677027813293, -86.4966611321817]",Kentucky Cabinet for Health and Family Services
46,Bowling Green Nursing Home,8584 Horse Park Rd,Bowling Green,Kentucky,42103,Warren,(270) 848-9715,Assisted Living,56,KY63992,John Smith,"[36.98062826600692, -86.48038199108221]",Kentucky Cabinet for Health and Family Services
47,Maple Gardens,4818 Bluegrass Blvd,Bowling Green,Kentucky,42101,Warren,(270) 857-9444,Assisted Living,162,KY11459,John Clark,"[36.98258217846119, -86.48389240132127]",Kentucky Cabinet for Health and Family Services
48,Riverside Nursing Home,1007 Elm St,Bowling Green,Kentucky,42104,Warren,(502) 312-5438,Skilled Nursing Facility,132,KY36743,Lisa Thomas,"[36.988200736932086, -86.47835628985604]",Kentucky Cabinet for Health and Family Services
49,Garden Senior Living,1737 Washington St,Bowling Green,Kentucky,42101,Warren,(364) 305-5828,Memory Care,40,KY18411,Daniel Hernandez,"[36.970949300276764, -86.46483772505657]",Kentucky Cabinet for Health and Family Services
50,Bowling Green Court,8193 Elm St,Bowling Green,Kentucky,42103,Warren,(859) 969-7010,Independent Living,165,KY10040,David Thompson,"[36.983281576553814, -86.46806074816166]",Kentucky Cabinet for Health and Family Services
51,Bowling Green Health Care,3872 Kentucky Ave,Bowling Green,Kentucky,42101,Warren,(270) 815-6068,Memory Care,67,KY32424,James Taylor,"[36.954229260473305, -86.46658214253952]",Kentucky Cabinet for Health and Family Services
52,Bowling Green Senior Living,3919 Maple Dr,Bowling Green,Kentucky,42104,Warren,(859) 212-6587,Skilled Nursing Facility,92,KY57216,David Taylor,"[36.98230364262365, -86.47442615281615]",Kentucky Cabinet for Health and Family Services
53,Oak Nursing Home,4821 Second St,Bowling Green,Kentucky,42101,Warren,(859) 447-7086,Independent Living,58,KY68808,John Moore,"[36.972077191416616, -86.47312638633971]",Kentucky Cabinet for Health and Family Services
54,Thoroughbred Center,1960 Maple Dr,Bowling Green,Kentucky,42104,Warren,(606) 753-9959,Assisted Living,62,KY63205,William Moore,"[36.948950270757216, -86.47383917874383]",Kentucky Cabinet for Health and Family Services
55,Pine Center,9118 Church St,Bowling Green,Kentucky,42103,Warren,(859) 871-3190,Skilled Nursing Facility,116,KY30217,Helen Williams,"[36.952010814954065, -86.49820568802048]",Kentucky Cabinet for Health and Family Services
56,Heritage Villa,3358 Cedar Ln,Owensboro,Kentucky,42304,Daviess,(606) 812-6818,Adult Day Care,95,KY54548,Charles Brown,"[37.755207937499094, -87.10265109507644]",Kentucky Cabinet for Health and Family Services
57,Heritage Retirement Community,467 Church St,Owensboro,Kentucky,42303,Daviess,(502) 369-2696,Adult Day Care,144,KY37955,Susan Anderson,"[37.77563331568766, -87.10628728542338]",Kentucky Cabinet for Health and Family Services
58,Meadow Place,1075 Derby Dr,Owensboro,Kentucky,42301,Daviess,(364) 688-5613,Skilled Nursing Facility,28,KY83026,Elizabeth Johnson,"[37.75390418033251, -87.12438121517602]",Kentucky Cabinet for Health and Family Services
59,Golden Nursing Home,4762 Monroe St,Owensboro,Kentucky,42303,Daviess,(502) 367-1121,Assisted Living,74,KY78664,William Jackson,"[37.778839288670675, -87.09341824393955]",Kentucky Cabinet for Health and Family Services
60,Meadow Manor,7945 Bluegrass Blvd,Owensboro,Kentucky,42304,Daviess,(859) 400-8357,Assisted Living,56,KY97745,Jennifer Ramirez,"[37.77334409969301, -87.11890426078598]",Kentucky Cabinet for Health and Family Services
61,Owensboro Commons,318 Maple Dr,Owensboro,Kentucky,42303,Daviess,(364) 633-2972,Independent Living,25,KY44547,Mary Walker,"[37.76190781080227, -87.11378346361333]",Kentucky Cabinet for Health and Family Services
62,Magnolia Memory Care,5652 Monroe St,Owensboro,Kentucky,42303,Daviess,(502) 534-6576,Adult Day Care,117,KY45717,Daniel White,"[37.772051927357786, -87.10209650559638]",Kentucky Cabinet for Health and Family Services
63,Owensboro Manor,3345 Church St,Owensboro,Kentucky,42301,Daviess,(270) 652-3582,Independent Living,67,KY25105,Lisa Jackson,"[37.767374635186336, -87.1076878972055]",Kentucky Cabinet for Health and Family Services
64,Manor Memory Care,8329 Main St,Owensboro,Kentucky,42301,Daviess,(364) 337-4876,Memory Care,39,KY86815,Lisa Anderson,"[37.76069373231661, -87.10599539766444]",Kentucky Cabinet for Health and Family Services
65,Garden Court,955 Mill St,Covington,Kentucky,41016,Kenton,(270) 584-4362,Skilled Nursing Facility,109,KY21910,Donald Thomas,"[39.08424666436379, -84.49491878542871]",Kentucky Cabinet for Health and Family Services
66,Golden Retirement Community,5495 Bluegrass Blvd,Covington,Kentucky,41018,Kenton,(270) 209-3510,Assisted Living,105,KY64417,James Jackson,"[39.06866874256999, -84.49133658607114]",Kentucky Cabinet for Health and Family Services
67,Derby Nursing Home,1764 First St,Covington,Kentucky,41015,Kenton,(502) 454-2324,Assisted Living,66,KY29824,Joseph Garcia,"[39.092746158795, -84.5262292540677]",Kentucky Cabinet for Health and Family Services
68,Covington Gardens,6338 Monroe St,Covington,Kentucky,41011,Kenton,(270) 498-2959,Adult Day Care,166,KY87904,Michael Sanchez,"[39.07008393968303, -84.51382473930013]",Kentucky Cabinet for Health and Family Services
69,Court Manor,7676 Bourbon St,Covington,Kentucky,41012,Kenton,(859) 916-5271,Assisted Living,158,KY37602,Michael Perez,"[39.094851490402235, -84.51390467941117]",Kentucky Cabinet for Health and Family Services
70,Covington Assisted Living,9657 Bluegrass Blvd,Covington,Kentucky,41011,Kenton,(859) 671-4463,Continuing Care Retirement Community,156,KY81200,John Davis,"[39.07218516831229, -84.5118694852298]",Kentucky Cabinet for Health and Family Services
71,Covington Nursing Home,4785 Cedar Ln,Covington,Kentucky,41014,Kenton,(270) 523-9420,Continuing Care Retirement Community,117,KY21045,Helen Garcia,"[39.07893092124131, -84.51486525012835]",Kentucky Cabinet for Health and Family Services
72,Thoroughbred Manor,9226 Kentucky Ave,Covington,Kentucky,41014,Kenton,(270) 753-3919,Personal Care Home,53,KY10538,Richard Rodriguez,"[39.0706846783828, -84.49159931024063]",Kentucky Cabinet for Health and Family Services
73,Manor Court,4825 Oak Ave,Covington,Kentucky,41015,Kenton,(502) 611-1318,Independent Living,142,KY35336,Donna Harris,"[39.09230855129689, -84.4939179729226]",Kentucky Cabinet for Health and Family Services
74,Derby Villa,8855 Second St,Covington,Kentucky,41012,Kenton,(606) 577-5928,Memory Care,70,KY27801,Patricia Lee,"[39.08225725347903, -84.52166959268583]",Kentucky Cabinet for Health and Family Services
75,Pine Court,6480 Derby Dr,Covington,Kentucky,41017,Kenton,(270) 271-8223,Skilled Nursing Facility,96,KY97592,Betty Lee,"[39.0710015142427, -84.50514354580686]",Kentucky Cabinet for Health and Family Services
76,Valley Manor,5478 Maple Dr,Covington,Kentucky,41015,Kenton,(606) 763-2841,Skilled Nursing Facility,80,KY79315,Mary White,"[39.07396907542829, -84.50146078421557]",Kentucky Cabinet for Health and Family Services
77,Place Assisted Living,5646 Main St,Covington,Kentucky,41016,Kenton,(502) 762-1818,Skilled Nursing Facility,60,KY43952,Matthew Garcia,"[39.07665898119322, -84.48996232047841]",Kentucky Cabinet for Health and Family Services
78,Valley Court,482 Derby Dr,Covington,Kentucky,41015,Kenton,(606) 711-1869,Memory Care,160,KY95323,Nancy Garcia,"[39.100049593315596, -84.49524383498164]",Kentucky Cabinet for Health and Family Services
79,Manor Manor,7003 Derby Dr,Covington,Kentucky,41014,Kenton,(502) 462-6666,Personal Care Home,176,KY86004,Christopher Ramirez,"[39.09205623850299, -84.49768862527092]",Kentucky Cabinet for Health and Family Services
80,Valley Health Care,9098 Monroe St,Covington,Kentucky,41016,Kenton,(606) 227-5941,Continuing Care Retirement Community,165,KY97533,Michael Lopez,"[39.07457744015591, -84.51633355804617]",Kentucky Cabinet for Health and Family Services
81,Hopkinsville Health Care,8648 Bluegrass Blvd,Hopkinsville,Kentucky,42241,Christian,(859) 255-2901,Skilled Nursing Facility,37,KY64369,Barbara Thomas,"[36.86968640617469, -87.49803254922577]",Kentucky Cabinet for Health and Family Services
82,Manor Place,1605 Maple Dr,Hopkinsville,Kentucky,42240,Christian,(859) 687-6437,Independent Living,32,KY89961,Sarah Williams,"[36.877617704707745, -87.48498315432074]",Kentucky Cabinet for Health and Family Services
83,Magnolia Villa,8226 Lincoln Ave,Hopkinsville,Kentucky,42240,Christian,(364) 607-8757,Adult Day Care,31,KY51753,Thomas Thomas,"[36.88195189895309, -87.48204986503714]",Kentucky Cabinet for Health and Family Services
84,Oak Court,5466 Washington St,Hopkinsville,Kentucky,42240,Christian,(502) 283-4729,Assisted Living,166,KY92746,Anthony Lewis,"[36.8469373422172, -87.46893812098662]",Kentucky Cabinet for Health and Family Services
85,Golden Place,7665 Pine Rd,Hopkinsville,Kentucky,42241,Christian,(606) 913-9803,Continuing Care Retirement Community,97,KY90293,James Walker,"[36.88314043632985, -87.49577890303593]",Kentucky Cabinet for Health and Family Services
86,Court Assisted Living,934 Church St,Hopkinsville,Kentucky,42241,Christian,(364) 763-2070,Adult Day Care,72,KY24647,Michael Harris,"[36.883448897033475, -87.4778596140492]",Kentucky Cabinet for Health and Family Services
87,Hopkinsville Commons,887 Second St,Hopkinsville,Kentucky,42240,Christian,(270) 522-1717,Assisted Living,166,KY85512,Christopher Miller,"[36.86366176135001, -87.46904274352805]",Kentucky Cabinet for Health and Family Services
88,Place Center,914 Washington St,Hopkinsville,Kentucky,42240,Christian,(606) 204-8445,Personal Care Home,135,KY51624,Joseph Jones,"[36.872451257948235, -87.49538000170448]",Kentucky Cabinet for Health and Family Services
89,Garden Center,1604 Lincoln Ave,Hopkinsville,Kentucky,42240,Christian,(270) 964-6618,Adult Day Care,126,KY53633,Mark Walker,"[36.88553982146411, -87.49985593481195]",Kentucky Cabinet for Health and Family Services
90,Riverside Skilled Nursing,7722 Bluegrass Blvd,Hopkinsville,Kentucky,42240,Christian,(606) 333-6403,Memory Care,31,KY75687,Sarah Hernandez,"[36.86202333650685, -87.47399848785905]",Kentucky Cabinet for Health and Family Services
91,Hopkinsville Assisted Living,1186 Elm St,Hopkinsville,Kentucky,42241,Christian,(502) 410-4229,Personal Care Home,69,KY26042,Jennifer Martin,"[36.85264221501312, -87.50340398458061]",Kentucky Cabinet for Health and Family Services
92,Bluegrass Villa,3292 Madison Rd,Hopkinsville,Kentucky,42241,Christian,(270) 852-9181,Continuing Care Retirement Community,143,KY36825,Joseph Smith,"[36.865649038518335, -87.47471835443845]",Kentucky Cabinet for Health and Family Services
93,Manor Skilled Nursing,597 Horse Park Rd,Hopkinsville,Kentucky,42241,Christian,(502) 269-8600,Assisted Living,119,KY95233,Daniel Jackson,"[36.86459866384045, -87.50582214756685]",Kentucky Cabinet for Health and Family Services
94,Court Villa,3723 Jefferson Dr,Hopkinsville,Kentucky,42240,Christian,(502) 751-4806,Adult Day Care,45,KY47102,Sandra White,"[36.8768865717645, -87.49402731998464]",Kentucky Cabinet for Health and Family Services
